topic_str,post,label,seen?,new_id,ori_topic,pred_label
obamacare healthcare seniors,"Jim, if I if I can just respond very quickly, first of all, every study has shown that Medicare has lower administrative costs than private insurance does, which is why seniors are generally pretty happy with it.",2,0,0,obamacare healthcare seniors,1
obamacare healthcare insurance,And private insurers have to make a profit.,2,0,1,obamacare healthcare insurance,1
sen pass agree,Nothing wrong with that.,2,0,2,sen pass agree,1
sen pass agree,That's what they do.,2,0,3,sen pass agree,0
workers obamacare jobs,"And so you've got higher administrative costs, plus profit on top of that.",2,0,4,workers obamacare jobs,2
spending bipartisan obamacare,"And if you are going to save any money through what Governor Romney's proposing, what has to happen is, is that the money has to come from somewhere.",2,0,5,spending bipartisan obamacare,1
obamacare healthcare seniors,"And when you move to a voucher system, you are putting seniors at the mercy of those insurance companies.",2,0,6,obamacare healthcare seniors,0
obamacare healthcare seniors,"And over time, if traditional Medicare has decayed or fallen apart, then they're stuck.",2,0,7,obamacare healthcare seniors,1
obamacare healthcare seniors,And this is the reason why AARP has said that your plan would weaken Medicare substantially.,2,0,8,obamacare healthcare seniors,0
syria war obama,And that's why they were supportive of the approach that we took.,2,0,9,syria war obama,1
congress bipartisan congressional,One last point I want to make.,2,0,10,congress bipartisan congressional,1
obamacare healthcare seniors,"We do have to lower the cost of health care, not just in Medicare and Medicaid|",2,0,11,obamacare healthcare seniors,1
sen pass agree,but but but overall.,2,0,12,sen pass agree,2
sen pass agree,And so|,2,0,13,sen pass agree,1
sen pass agree,Is that a is that a separate topic?,2,0,14,sen pass agree,1
sen pass agree,I'm sorry.,2,0,15,sen pass agree,2
sen pass agree,Absolutely.,2,0,16,sen pass agree,1
sen pass agree,I think this is a great example.,2,0,17,sen pass agree,1
spending bipartisan obamacare,The reason we have been in such a enormous economic crisis was prompted by reckless behavior across the board.,2,0,18,spending bipartisan obamacare,0
president obama legislation,"Now, it wasn't just on Wall Street.",2,0,19,president obama legislation,1
education students school,"You had loan officers were that were giving loans and mortgages that really shouldn't have been given, because the folks didn't qualify.",2,0,20,education students school,0
education students school,You had people who were borrowing money to buy a house that they couldn't afford.,2,0,21,education students school,0
businesses business economic,You had credit agencies that were stamping these as Aone great investments when they weren't.,2,0,22,businesses business economic,0
obamacare congressional congress,"But you also had banks making money hand over fist, churning out products that the bankers themselves didn't even understand, in order to make big profits, but knowing that it made the entire system vulnerable.",2,0,23,obamacare congressional congress,0
sen pass agree,So what did we do?,2,0,24,sen pass agree,1
jobs economy job,We stepped in and had the toughest reforms on Wall Street since the one thousand nine hundred thirtys.,2,0,25,jobs economy job,1
businesses business economic,"We said you've got banks, you've got to raise your capital requirements.",2,0,26,businesses business economic,0
businesses business economic,You can't engage in some of this risky behavior that is putting Main Street at risk.,2,0,27,businesses business economic,0
spending bipartisan obamacare,We've going to make sure that you've got to have a living will so so we can know how you're going to wind things down if you make a bad bet so we don't have other taxpayer bailouts.,2,0,28,spending bipartisan obamacare,0
spending bipartisan obamacare,"In the meantime, by the way, we also made sure that all the help that we provided those banks was paid back every single dime, with interest.",2,0,29,spending bipartisan obamacare,1
senator senate congressman,"Now, Governor Romney has said he wants to repeal Dodd Frank.",2,0,30,senator senate congressman,0
businesses business economic,"And, you know, I appreciate and it appears we've got some agreement that a marketplace to work has to have some regulation.",2,0,31,businesses business economic,1
obama president congressman,"But in the past, Governor Romney has said he just want to repeal Dodd Frank, roll it back.",2,0,32,obama president congressman,0
spending bipartisan obamacare,And so the question is: Does anybody out there think that the big problem we had is that there was too much oversight and regulation of Wall Street?,2,0,33,spending bipartisan obamacare,0
obama president congressman,"Because if you do, then Governor Romney is your candidate.",2,0,34,obama president congressman,1
sen pass agree,But that's not what I believe.,2,0,35,sen pass agree,2
obama president congressman,"Well, four years ago, when I was running for office, I was traveling around and having those same conversations that Governor Romney talks about.",2,0,36,obama president congressman,1
obamacare healthcare insurance,And it wasn't just that small businesses were seeing costs skyrocket and they couldn't get affordable coverage even if they wanted to provide it to their employees.,2,0,37,obamacare healthcare insurance,1
spending bipartisan obamacare,"It wasn't just that this was the biggest driver of our federal deficit, our overall health care costs, but it was families who were worried about going bankrupt if they got sick, millions of families, all across the country.",2,0,38,spending bipartisan obamacare,1
obamacare healthcare insurance,"If they had a pre existing condition, they might not be able to get coverage at all.",2,0,39,obamacare healthcare insurance,1
obamacare healthcare insurance,"If they did have coverage, insurance companies might impose an arbitrary limit.",2,0,40,obamacare healthcare insurance,1
obamacare healthcare insurance,"And so as a consequence, they're paying their premiums, somebody gets really sick, lo and behold, they don't have enough money to pay the bills, because the insurance companies say that they've hit the limit.",2,0,41,obamacare healthcare insurance,0
jobs economy job,"So we did work on this, alongside working on jobs, because this is part of making sure that middle class families are secure in this country.",2,0,42,jobs economy job,1
obamacare healthcare insurance,And let me tell you exactly what Obamacare did.,2,0,43,obamacare healthcare insurance,1
obamacare healthcare insurance,"Number one, if you've got health insurance, it doesn't mean a government takeover.",2,0,44,obamacare healthcare insurance,1
obamacare healthcare insurance,You keep your own insurance.,2,0,45,obamacare healthcare insurance,1
obamacare healthcare seniors,You keep your own doctor.,2,0,46,obamacare healthcare seniors,1
obamacare healthcare insurance,But it does say insurance companies can't jerk you around.,2,0,47,obamacare healthcare insurance,1
president obama legislation,They can't impose arbitrary lifetime limits.,2,0,48,president obama legislation,0
obamacare healthcare insurance,They have to let you keep your kid on their insurance your insurance plan until you're twenty six years old.,2,0,49,obamacare healthcare insurance,1
obamacare healthcare insurance,And it also says that you're going to have to get rebates if insurance companies are spending more on administrative costs and profits than they are on actual care.,2,0,50,obamacare healthcare insurance,0
obamacare healthcare insurance,"Number two, if you don't have health insurance, we're essentially setting up a group plan that allows you to benefit from group rates that are typically eighteen percent lower than if you're out there trying to get insurance on the individual market.",2,0,51,obamacare healthcare insurance,1
congress bipartisan congressional,"Now, the last point I'd make before|",2,0,52,congress bipartisan congressional,1
obama president congressman,"No, I think I had five seconds before you interrupted me, was the irony is that we've seen this model work really well in Massachusetts, because Governor Romney did a good thing, working with Democrats in the state to set up what is essentially the identical model and as a consequence people are covered there.",2,0,53,obama president congressman,0
jobs economy job,It hasn't destroyed jobs.,2,0,54,jobs economy job,1
obamacare healthcare insurance,"And as a consequence, we now have a system in which we have the opportunity to start bringing down costs, as opposed to just leaving millions of people out in the cold.",2,0,55,obamacare healthcare insurance,1
obama president congressman,Governor Romney said this has to be done on a bipartisan basis.,2,0,56,obama president congressman,1
congress bipartisan congressional,This was a bipartisan idea.,2,0,57,congress bipartisan congressional,1
president obama legislation,"In fact, it was a Republican idea.",2,0,58,president obama legislation,1
